"CNP";"Descrição";"Marca";"Categoria";"Gama";"Vendas CY (€)";"Vendas LY (€)";"Cresc. %";"Unid. CY";"Unid. LY";"PVP CY (€/un)"
"628018";"AV CICALFATE+ CREME 40ML";"AVENE";"CORPO";"CICALFATE";"22586.02";"21115.56";"7.0";"1958";"1775";"11.54"
"646362";"KLCAP CH QUININA  BIO 400";"KLORANE";"CAPILARES";"QUININA";"22295.76";"16847.57";"32.3";"1645";"1194";"13.55"
"6280172";"AV CICALFATE+ CREME 100ML";"AVENE";"CORPO";"CICALFATE";"20824.12";"19096.61";"9.0";"1109";"1009";"18.78"
"6656967";"OC ELUGEL 40 ML";"ORAL CARE";"HIGIENE ORAL";"ELUGEL";"14946.07";"14390.31";"3.9";"1198";"1310";"12.48"
"6405878";"OC ELG PROT GENGIVAS 75ML";"ORAL CARE";"HIGIENE ORAL";"ELGYDIUM";"12324.05";"11238.29";"9.7";"1691";"1594";"7.29"
"7529461";"AV CLEANANCE COMEDOMED+";"AVENE";"ROSTO";"CLEANANCE";"11127.05";"0.00";"";"712";"0";"15.63"
"6889154";"OC ELUDRIL CLASSIC 500 ML";"ORAL CARE";"HIGIENE ORAL";"ELUDRIL";"10770.98";"11200.24";"-3.8";"689";"714";"15.63"
"6588947";"DU CH KELUAL DS 100 ML NF";"DUCRAY";"CAPILARES";"KELUAL DS";"10344.21";"12144.77";"-14.8";"672";"739";"15.39"
"6559278";"KLCAP CH LT AVEIA 400 M17";"KLORANE";"CAPILARES";"LEITE AVEIA";"9153.68";"9464.05";"-3.3";"721";"770";"12.70"
"68482";"DU EXTRA DOUX CH 400 NF21";"DUCRAY";"CAPILARES";"EXTRA-DOUX";"8843.44";"6893.93";"28.3";"562";"442";"15.74"
"6879817";"OC ELUDRIL CARE 500 ML";"ORAL CARE";"HIGIENE ORAL";"ELUDRIL";"8510.70";"6675.35";"27.5";"755";"618";"11.27"
"7134247";"AV HYALURON CR DIA 50 ML";"AVENE";"ROSTO";"HYALURON";"8383.11";"7775.36";"7.8";"275";"259";"30.48"
"7119537";"AD EXCONTROL OL DUCH 500 RECARGA";"A-DERMA";"CORPO";"EXOMEGA";"7867.32";"7758.24";"1.4";"558";"599";"14.10"
"6594713";"OC ARTHRODONT CLASSIC 75";"ORAL CARE";"HIGIENE ORAL";"ARTHRODONT";"7524.88";"9025.67";"-16.6";"937";"1128";"8.03"
"6889147";"OC ELUDRIL CLASSIC 200 ML";"ORAL CARE";"HIGIENE ORAL";"ELUDRIL";"7474.16";"7859.88";"-4.9";"745";"790";"10.03"
